Line,Code,Name,Label,Type,Hex,ImageFile
Karisma,L580,Free Spirit,Free Spirit-L580,image,#D3C6B3,Karisma_L580_Free-Spirit.jpg
Karisma,L581,Sheer Beauty,Sheer Beauty-L581,image,#CDAF83,Karisma_L581_Sheer-Beauty.jpg
Karisma,L582,Fashionista,Fashionista-L582,image,#937755,Karisma_L582_Fashionista.jpg
Karisma,L583,First Class,First Class-L583,image,#554737,Karisma_L583_First-Class.jpg
Karisma,L584,The Chameleon,The Chameleon-L584,image,#A59276,Karisma_L584_The-Chameleon.jpg
Karisma,L585,Rhapsody,Rhapsody-L585,image,#B7A377,Karisma_L585_Rhapsody.jpg
Karisma,L586,Natural Affinity,Natural Affinity-L586,image,#D3C8B6,Karisma_L586_Natural-Affinity.jpg
Karisma,L587,Sugar Rush,Sugar Rush-L587,image,#977E58,Karisma_L587_Sugar-Rush.jpg
Karisma,L588,Sweet & Savory,Sweet & Savory-L588,image,#816F52,Karisma_L588_Sweet-and-Savory.jpg
Karisma,L589,Salt of the Earth,Salt of the Earth-L589,image,#765E46,Karisma_L589_Salt-of-the-Earth.jpg
Karisma,L590,Love at First Sight,Love at First Sight-L590,image,#D7C9AF,Karisma_L590_Love-at-First-Sight.jpg
Karisma,L591,Acacia Honey,Acacia Honey-L591,image,#D6BC96,Karisma_L591_Acacia-Honey.jpg
Karisma,L592,Kiss Curl,Kiss Curl-L592,image,#906F50,Karisma_L592_Kiss-Curl.jpg
Karisma,L593,MasterMind,MasterMind-L593,image,#BAB3A5,Karisma_L593_MasterMind.jpg
Karisma,L830,Force of Nature,Force of Nature-L830,image,#CBC4B4,Karisma_L830_Force-of-Nature.jpg
Karisma,L831,Rock Solid,Rock Solid-L831,image,#AFA69B,Karisma_L831_Rock-Solid.jpg
Karisma,L832,Urban Vibe,Urban Vibe-L832,image,#7B7364,Karisma_L832_Urban-Vibe.jpg
Prelude,L080,Froth of Sea,Froth of Sea-L080,flat,#EAECDF,
Prelude,L105,Snowfall,Snowfall-L105,flat,#EEECE0,
Prelude,L175,White,White-L175,flat,#E5E9E8,
Prelude,L191,Glacier White,Glacier White-L191,flat,#E5E8E7,
Prelude,L201,Shadows,Shadows-L201,flat,#98978B,
Prelude,L202,Summer Drops,Summer Drops-L202,flat,#BDC0B7,
Prelude,L203,Black,Black-L203,flat,#26282C,
Prelude,L303,Hardrock Maple,Hardrock Maple-L303,image,#C6A578,Prelude_L303_Hardrock-Maple.jpg
Prelude,L421,Candlelight,Candlelight-L421,image,#A26D45,Prelude_L421_Candlelight.jpg
Prelude,L476,Prestige Maple,Prestige Maple-L476,image,#BF976B,Prelude_L476_Prestige-Maple.jpg
Prelude,L488,Dolce Vita,Dolce Vita-L488,image,#AA805D,Prelude_L488_Dolce-Vita.jpg
Prelude,L491,Beach Memories,Beach Memories-L491,image,#97734F,Prelude_L491_Beach-Memories.jpg
Prelude,L530,Latitude North,Latitude North-L530,image,#F5F2ED,Prelude_L530_Latitude-North.jpg
Prelude,L535,Southwester,Southwester-L535,image,#6E6554,Prelude_L535_Southwester.jpg
Prelude,L544,Niagara,Niagara-L544,image,#D0C9B9,Prelude_L544_Niagara.jpg
Prelude,L546,Mojave,Mojave-L546,image,#CBB997,Prelude_L546_Mojave.jpg
Prelude,L557,Rocky Mountain,Rocky Mountain-L557,image,#6C5039,Prelude_L557_Rocky-Mountain.jpg
Prelude,L562,Sable Island,Sable Island-L562,image,#B9A78E,Prelude_L562_Sable-Island.jpg
Prelude,L563,Mégantic,Mégantic-L563,image,#99836C,Prelude_L563_Megantic.jpg
Prelude,L564,Tofino,Tofino-L564,image,#BD986F,Prelude_L564_Tofino.jpg
Prelude,L760,Rain Cloud,Rain Cloud-L760,flat,#9D9F92,
Prelude,L761,Moonlight,Moonlight-L761,flat,#585552,
Prelude,L762,Starry Night,Starry Night-L762,flat,#33373A,
Prelude,L763,Morning Dew,Morning Dew-L763,flat,#D4CCC1,
Prelude,L764,Daybreak,Daybreak-L764,flat,#AD9E8B,
Prelude,L765,Midnight Sun,Midnight Sun-L765,flat,#393836,
Prelude,L767,Milky Way,Milky Way-L767,flat,#7D6E59,
Prelude,L770,Evening Star,Evening Star-L770,flat,#595853,
Prelude,L775,Gardenia,Gardenia-L775,flat,#EFEBE0,
Prelude,L776,Cashmere,Cashmere-L776,flat,#E5DED6,
Prelude,L781,Cream Puff,Cream Puff-L781,flat,#CDBBA3,
Prelude,L782,Sand Castle,Sand Castle-L782,flat,#A08870,
Prelude,L783,Tiramisu,Tiramisu-L783,flat,#594840,
Prelude,L784,Secret Garden,Secret Garden-L784,flat,#5A5446,
